品番,商品名,HPから確認した情報,カタログから確認した情報,日本語の一言要約,英語の一言要約,中国語の一言要約,韓国語の一言要約,確認元URLまたはカタログ掲載ページ
950-675,±ハイブリッドボルトW1.4×2.0,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,"カタログP.44,45 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。 / ハ ード パ ット パ ット セ ット 鼻 盛 パ ット ネ ± ハイブリッドボルトW ○ No.950-675 Screw 各種1袋 No.950-676 240N299 No.950-677 No.950-678 ハイブリッドボルトW 1.4×2.0 ハイブリッドボルトW 1.4×2.5 ハイブリッドボルトW 1.4×2.7 || W No.141-69... / 入数: 30本 / 全長 太さ / ハ ード パ ット パ ット セ ット 鼻 盛 パ ット ネ ± ハイブリッドボルトW ○ No.950-675 Screw 各種1袋 No.950-676 240N299 No.950-677 No.950-678 ハイブリッドボルトW 1.4×2.0 ハイブリッドボルトW 1.4×2.5 ハイブリッドボルトW 1.4×2.7 || W No.141-691 ± ○ W No.950-675 ± ○ No.950-676 特徴 ・ 用途 パット （箱蝶） 素 材 形状 カラー （㎜） 太さ （㎜） 首下 （㎜） 頭径（㎜） 全長 太さ",ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,"カタログP.44,45 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
950-676,±ハイブリッドボルトW1.4×2.5,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,"カタログP.44,45 / 箱蝶パッド調整 / 角度や開きを安定して調整しやすい / 箱蝶パッド調整に使う商品です。用途に合わせて使うことで、修理・調整・販売時の対応をスムーズにしやすくします。 / 鼻 盛 パ ット ネ ± ハイブリッドボルトW ○ No.950-675 Screw 各種1袋 No.950-676 240N299 No.950-677 No.950-678 ハイブリッドボルトW 1.4×2.0 ハイブリッドボルトW 1.4×2.5 ハイブリッドボルトW 1.4×2.7 ハイブリッドボルトW 1.4×3.0 || ± ○ W No.950... / 入数: 30本 / 全長 太さ 首下 全長 / 鼻 盛 パ ット ネ ± ハイブリッドボルトW ○ No.950-675 Screw 各種1袋 No.950-676 240N299 No.950-677 No.950-678 ハイブリッドボルトW 1.4×2.0 ハイブリッドボルトW 1.4×2.5 ハイブリッドボルトW 1.4×2.7 ハイブリッドボルトW 1.4×3.0 || ± ○ W No.950-675 ± ○ No.950-676 特徴 ・ 用途 パット （箱蝶） 素 材 形状 カラー （㎜） 太さ （㎜） 首下 （㎜） 頭径（㎜） 全長 太さ 首下 全長",ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,"カタログP.44,45 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
950-676A,±ハイブリッドボルトW(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 100本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-676B,±ハイブリッドボルトW(300本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 300本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-676C,±ハイブリッドボルトW(1000本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 1000本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-677,±ハイブリッドボルトW1.4×2.7,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,"カタログP.44,45 / 入数: 30本 / ± ハイブリッドボルトW ○ No.950-675 Screw 各種1袋 No.950-676 240N299 No.950-677 No.950-678 ハイブリッドボルトW 1.4×2.0 ハイブリッドボルトW 1.4×2.5 ハイブリッドボルトW 1.4×2.7 ハイブリッドボルトW 1.4×3.0 30本 30本 || ー A B C ー No.950-677 ± ○ W 1.4 2.7 2.0 3. 3 30本 ー A",ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,"カタログP.44,45 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
950-677A,±ハイブリッドボルトW(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 100本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-677B,±ハイブリッドボルトW(300本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 300本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-677C,±ハイブリッドボルトW(1000本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 1000本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-678,±ハイブリッドボルトW1.4×3.0,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,"カタログP.44,45 / 入数: 30本 / No.950-675 Screw 各種1袋 No.950-676 240N299 No.950-677 No.950-678 ハイブリッドボルトW 1.4×2.0 ハイブリッドボルトW 1.4×2.5 ハイブリッドボルトW 1.4×2.7 ハイブリッドボルトW 1.4×3.0 30本 30本 30本 || ー A B C ー No.950-678 ± ○ W 1.4 3.0 2.0 3.6 30本 ー A",ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,"カタログP.44,45 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
950-678A,±ハイブリッドボルトW(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 100本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-678B,±ハイブリッドボルトW(300本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 300本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-678C,±ハイブリッドボルトW(1000本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 1000本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-680,±ハイブリッドボルトW1.4×3.5,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,"カタログP.44,45 / 入数: 30本 / 1.4×3.0 30本 30本 30本 30本 No.950-680 No.950-681 No.950-682 ハイブリッドボルトW 1.4×3.5 ハイブリッドボルトW 1.4×3.7 ハイブリッドボルトW 1.4×4.0 30本 30本 30本 || ー A B C ー No.950-680 ± ○ W 1.4 3. 5 2.0 4.1 30本 ー A",ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,"カタログP.44,45 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
950-680A,±ハイブリッドボルトW(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 100本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-680B,±ハイブリッドボルトW(300本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 300本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-680C,±ハイブリッドボルトW(1000本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 1000本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-681,±ハイブリッドボルトW1.4×3.7,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,"カタログP.44,45 / 入数: 30本 / 30本 30本 30本 30本 No.950-680 No.950-681 No.950-682 ハイブリッドボルトW 1.4×3.5 ハイブリッドボルトW 1.4×3.7 ハイブリッドボルトW 1.4×4.0 30本 30本 30本 レンズ止めに || ー A B C ー No.950-681 ± ○ W 1.4 3.7 2.0 4. 3 30本 No.950-682 ±",ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,"カタログP.44,45 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
950-682,±ハイブリッドボルトW1.4×4.0,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,"カタログP.44,45 / 入数: 30本 / 30本 30本 30本 No.950-680 No.950-681 No.950-682 ハイブリッドボルトW 1.4×3.5 ハイブリッドボルトW 1.4×3.7 ハイブリッドボルトW 1.4×4.0 30本 30本 30本 レンズ止めに スリット部のスプリングバッ || 1.4 3.7 2.0 4. 3 30本 No.950-682 ± ○ W 1.4 4.0 2.0 4.6 30本 ー A",ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,"カタログP.44,45 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
950-682A,±ハイブリッドボルトW(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 100本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-682B,±ハイブリッドボルトW(300本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 300本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
950-682C,±ハイブリッドボルトW(1000本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 1000本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
951-685,±OSハイブリッドロックW1.4×2.4,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,"カタログP.44,45 / メガネ部品の交換・補修 / 破損や紛失時の修理に対応しやすい / メガネフレームの交換・補修に使う小部品です。破損や紛失時の修理対応に備えやすく、店頭修理の幅を広げます。 / 入数: 10本 / ステンレス 1.0 No.951-685 売 視力測定 左ページの商品はこの表をご覧下さい / シリコン / 1,000 本 スリット部のスプリングバッ クによる反発力でがっちりロ ック。 （太さ×首下）単 位 ㎜ ± OSハイブリッドロックW・G ○ No.951-685 ギュ!! がっちりロック お徳用あります 100 本 しめつけると Screw 各種1袋 No.951-686 240N299 No.951-687 No.951-688 || 1. 8 レンズ止め 3. 8 ステンレス 1.0 No.951-685 売 視力測定 左ページの商品はこの表をご覧下さい。 品番 販 ー & 丁番 サービス パック シリコン",ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,"カタログP.44,45 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
951-685A,±OSハイブリッドロックW(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 100本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
951-685B,±OSハイブリッドロックW(300本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 300本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
951-685S,±OSハイブリッドロックW(50本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 50本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
951-686,±OSハイブリッドロックW1.4×2.8,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,"カタログP.44,45 / 入数: 10本 / がっちりロック お徳用あります 100 本 しめつけると Screw 各種1袋 No.951-686 240N299 No.951-687 No.951-688 OS ハイブリッドロックＷ 1.4×2.4 OS ハイブリッドロックＷ 1.4×2.8 OS ハイブリッドロックＷ 1.4×3.2 OS ハイブリッドロックＷ 1.4×3.6 || S A B ー ー No.951-686 ± ○ W 1.4 2. 8 2.0 3.4 10本 S A",ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,"カタログP.44,45 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
951-686A,±OSハイブリッドロックW(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 100本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
951-686B,±OSハイブリッドロックW(300本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 300本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
951-686S,±OSハイブリッドロックW(50本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 50本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
951-687,±OSハイブリッドロックW1.4×3.2,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,"カタログP.44,45 / 入数: 10本 / 100 本 しめつけると Screw 各種1袋 No.951-686 240N299 No.951-687 No.951-688 OS ハイブリッドロックＷ 1.4×2.4 OS ハイブリッドロックＷ 1.4×2.8 OS ハイブリッドロックＷ 1.4×3.2 OS ハイブリッドロックＷ 1.4×3.6 10本 10本 || S A B ー ー No.951-687 ± ○ W 1.4 3. 2 2.0 3. 8 10本 S A",ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,"カタログP.44,45 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
951-687A,±OSハイブリッドロックW(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 100本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
951-687B,±OSハイブリッドロックW(300本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 300本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
951-687S,±OSハイブリッドロックW(50本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,入数: 50本,ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
951-688,±OSハイブリッドロックW1.4×3.6,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,"カタログP.44,45 / 入数: 10本 / しめつけると Screw 各種1袋 No.951-686 240N299 No.951-687 No.951-688 OS ハイブリッドロックＷ 1.4×2.4 OS ハイブリッドロックＷ 1.4×2.8 OS ハイブリッドロックＷ 1.4×3.2 OS ハイブリッドロックＷ 1.4×3.6 10本 10本 10本 || S A B ー ー No.951-688 ± ○ W 1.4 3.6 2.0 4. 2 10本 S A",ツーポイントやフレーム部品の固定に使うネジ・ボルトです。寸法を合わせて交換し、ゆるみや外れを補修しやすくします。,A screw or bolt for rimless frames and frame parts. Matching the dimensions helps repair loose or detached areas.,用于无框架和镜架部件固定的螺丝/螺栓。按尺寸更换，便于修理松动或脱落。,무테 프레임과 프레임 부품 고정에 쓰는 나사·볼트입니다. 치수를 맞춰 교체하면 풀림이나 이탈을 보수하기 쉽습니다.,"カタログP.44,45 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf"
